Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species
HM756660,West Nile virus,USA,NY,,Cooper's hawk brain,accipiter cooperii,2008,"    Direct Submission
  ",bird
KJ501286,West Nile virus,USA,WI,,heart,accipiter gentilis,2002,"    Direct Submission
  ",bird
KX547511,West Nile virus,USA,NY, Erie county,,accipiter gentilis,38950,"    Direct Submission
  ",bird
MW915462,West Nile virus,Spain," Manilva, Malaga",,brain,accipiter gentilis,42979,"    A new cluster of West Nile virus lineage 1 isolated from a northern
            goshawk in Spain
  ",bird
KX547544,West Nile virus,USA,NY, Onondaga county,,accipiter striatus,40051,"    Direct Submission
  ",bird
MN149538,West Nile virus,Russia,,,,acrocephalus dumetorum,38838,"    Mixed tick-borne encephalitis and Western Nile infection in
            Acrocephalus dumetorum in the south of the Tomsk region
  ",bird
W0967,,,NH,Hillsborough,,ae. cinereus,43325,,mosquito
W0982,,,NH,Rockingham,,ae. cinereus,43354,,mosquito
JF415919,West Nile virus,USA,TX,,,aedes albopictus,2007,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito
JF415925,West Nile virus,USA,TX,,,aedes albopictus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito
JF415927,West Nile virus,USA,TX,,,aedes albopictus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito
MN849176,West Nile virus,USA,DC,,,aedes albopictus,43709,"    Direct Submission
  ",mosquito
HM488114,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488143,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488225,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM756652,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HQ671717,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2001,"    Direct Submission
  ",mosquito
KX547201,West Nile virus,USA, NY, Nassau county,,aedes sp.,41110,"    Direct Submission
  ",mosquito
KX547222,West Nile virus,USA, NY, Nassau county,,aedes sp.,41096,"    Direct Submission
  ",mosquito
KX547236,West Nile virus,USA,NY, Onondaga county,,aedes sp.,40801,"    Direct Submission
  ",mosquito
KX547283,West Nile virus,USA, NY, Nassau county,,aedes sp.,41151,"    Direct Submission
  ",mosquito
KX547343,West Nile virus,USA,NY, Erie county,,aedes sp.,41129,"    Direct Submission
  ",mosquito
KX547364,West Nile virus,USA,NY, Rockland county,,aedes sp.,37512,"    Direct Submission
  ",mosquito
KX547387,West Nile virus,USA,NY, Chautauqua county,,aedes sp.,38951,"    Direct Submission
  ",mosquito
KX547418,West Nile virus,USA,NY, St. Lawrence county,,aedes sp.,41137,"    Direct Submission
  ",mosquito
KX547443,West Nile virus,USA, NY, Nassau county,,aedes sp.,41138,"    Direct Submission
  ",mosquito
KX547460,West Nile virus,USA, NY, Madison county,,aedes sp.,41492,"    Direct Submission
  ",mosquito
KX547471,West Nile virus,USA,NY, Erie county,,aedes sp.,38616,"    Direct Submission
  ",mosquito
KX547479,West Nile virus,USA,NY, Suffolk county,,aedes sp.,38602,"    Direct Submission
  ",mosquito
KX547579,West Nile virus,USA, NY, Nassau county,,aedes sp.,41110,"    Direct Submission
  ",mosquito
KX547594,West Nile virus,USA,NY, Weschester county,,aedes sp.,41486,"    Direct Submission
  ",mosquito
KX547601,West Nile virus,USA, NY, Nassau county,,aedes sp.,40399,"    Direct Submission
  ",mosquito
HM488140,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488145,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488152,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488233,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HQ671706,West Nile virus,USA,CT,,cell supernatant,aedes vexans,1999,"    Direct Submission
  ",mosquito
ON994909,West Nile virus,USA,MA,Lexington,,alpaca,43714,"    Direct Submission
  ",other_species
DQ164186,West Nile virus,USA,NY, Queens,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164187,West Nile virus,USA,NY, Broome,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164188,West Nile virus,USA,NY, Westchester,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164189,West Nile virus,USA,NY, Albany,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164190,West Nile virus,USA,NY, Suffolk,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164191,West Nile virus,USA,NY, Chautauqua,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164192,West Nile virus,USA,NY, Rockland,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164193,West Nile virus,USA,NY, Clinton,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
DQ164194,West Nile virus,USA,NY, Suffolk,,american crow,2001,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird
EF530047,West Nile virus,USA,,,kidney,american crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  ",bird
EF657887,West Nile virus,USA,,,kidney,american crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  ",bird
HQ705660,,,NY,,,american crow,2003,,bird
JF488094,,,NY,,,american crow,2004,,bird
JF488095,,,NY,,,american crow,2009,,bird
JF488096,,,NY,,,american crow,2009,,bird
JF488097,,,NY,,,american crow,2007,,bird
JF899528,,,NY,,,american crow,2004,,bird
JF899529,,,NY,,,american crow,2005,,bird
KJ145827,,,,,,american crow,2010,,bird
KJ145828,,,,,,american crow,2010,,bird
KJ145829,,,,,,american crow,2010,,bird
KJ501246,,,,,,american crow,2001,,bird
KJ501247,,,,,,american crow,2001,,bird
KJ501248,,,,,,american crow,2001,,bird
KJ501249,,,,,,american crow,2001,,bird
KJ501251,,,,,,american crow,2009,,bird
KJ501257,,,,,,american crow,2002,,bird
KJ501266,,,GA,,,american crow,2002,,bird
KJ501288,,,,,,american crow,2001,,bird
KJ501289,,,,,,american crow,2001,,bird
KJ501290,,,,,,american crow,2002,,bird
KJ501291,,,,,,american crow,2002,,bird
KJ501292,,,,,,american crow,2001,,bird
KJ501294,,,,,,american crow,2003,,bird
KJ501299,,,,,,american crow,2002,,bird
KJ501304,,,,,,american crow,2002,,bird
KJ501305,,,,,,american crow,2003,,bird
KJ501317,,,,,,american crow,2001,,bird
KJ501318,,,,,,american crow,2002,,bird
KJ501319,,,,,,american crow,2002,,bird
KJ501320,,,,,,american crow,2003,,bird
KJ501321,,,,,,american crow,2002,,bird
KJ501334,,,VA,,,american crow,2003,,bird
KJ501337,,,,,,american crow,2002,,bird
KJ501343,,,,,,american crow,2001,,bird
KJ501344,,,,,,american crow,2002,,bird
KJ501345,,,,,,american crow,2002,,bird
KJ501347,,,,,,american crow,2002,,bird
KJ501351,,,,,,american crow,2003,,bird
KJ501352,,,,,,american crow,2003,,bird
KJ501353,,,,,,american crow,2003,,bird
